table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
postgres,auth,mfa_factors,web_authn_aaguid,12,null,YES,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,12,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_challenges,web_authn_session_data,7,null,YES,jsonb,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,jsonb,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_relay_states,id,1,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_relay_states,sso_provider_id,2,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_relay_states,created_at,7,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_relay_states,updated_at,8,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,8,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_relay_states,flow_state_id,9,null,YES,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,9,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,refresh_tokens,instance_id,1,null,YES,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,refresh_tokens,id,2,nextval('auth.refresh_tokens_id_seq'::regclass),NO,bigint,null,null,64,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int8,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,refresh_tokens,revoked,5,null,YES,boolean,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,bool,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,refresh_tokens,created_at,6,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,refresh_tokens,updated_at,7,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,refresh_tokens,session_id,9,null,YES,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,9,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,sessions,id,1,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,sessions,user_id,2,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,sessions,created_at,3,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,sessions,updated_at,4,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,sessions,factor_id,5,null,YES,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,sessions,aal,6,null,YES,USER-DEFINED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,auth,aal_level,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,sessions,not_after,7,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,sessions,refreshed_at,8,null,YES,timestamp without time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamp,null,null,null,null,8,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,sessions,ip,10,null,YES,inet,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,inet,null,null,null,null,10,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_providers,id,1,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_providers,sso_provider_id,2,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_providers,attribute_mapping,6,null,YES,jsonb,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,jsonb,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_providers,created_at,7,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_providers,updated_at,8,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,8,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,flow_state,id,1,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,flow_state,user_id,2,null,YES,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,flow_state,code_challenge_method,4,null,NO,USER-DEFINED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,auth,code_challenge_method,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,flow_state,created_at,9,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,9,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,flow_state,updated_at,10,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,10,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,flow_state,auth_code_issued_at,12,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,12,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,one_time_tokens,id,1,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,one_time_tokens,user_id,2,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,one_time_tokens,token_type,3,null,NO,USER-DEFINED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,auth,one_time_token_type,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,one_time_tokens,created_at,6,now(),NO,timestamp without time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamp,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,one_time_tokens,updated_at,7,now(),NO,timestamp without time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamp,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_factors,id,1,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_factors,user_id,2,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_factors,factor_type,4,null,NO,USER-DEFINED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,auth,factor_type,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_factors,status,5,null,NO,USER-DEFINED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,auth,factor_status,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_factors,created_at,6,null,NO,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_factors,updated_at,7,null,NO,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_factors,last_challenged_at,10,null,YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,10,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_factors,web_authn_credential,11,null,YES,jsonb,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,jsonb,null,null,null,null,11,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
